sample_barcode	sample_id
TARGET-10-PAKHZT-03A-01R	SRR457636
TARGET-10-PAKVKK-03A-01R	SRR457637
TARGET-10-PAKTAL-03A-01R	SRR457638
TARGET-10-PAKKXB-03A-01R	SRR457642
TARGET-10-PAKYEP-03A-01R	SRR457643
TARGET-10-PALIBN-09A-01R	SRR457644
TARGET-10-PALJDL-09A-01R	SRR457645
TARGET-10-PALETF-03A-01R	SRR457646
TARGET-10-PAMDRM-09A-01R	SRR457653
TARGET-10-PAKKCA-03A-01R	SRR457655
TARGET-10-PANNGL-09A-01R	SRR527438
TARGET-10-PANSFD-09A-01R	SRR527439
TARGET-10-PANEHF-09A-01R	SRR527440
TARGET-30-PASDZJ-01A-01R	SRR391604
TARGET-30-PASFRV-01A-01R	SRR391605
TARGET-30-PASGPY-01A-01R	SRR391606
TARGET-30-PASLGS-01A-01R	SRR391607
TARGET-30-PASCLP-01A-01R	SRR391608
TARGET-30-PARRBU-01A-01R	SRR391612
TARGET-30-PARSHT-01A-01R	SRR391613
TARGET-52-PADYZI-01A-01R	SRR2059683
TARGET-52-PAKHTL-01A-01R	SRR2059684
TARGET-52-PADYZI-01A-01R	SRR2059685
TARGET-52-PAJMRB-01A-01R	SRR2059686
TARGET-52-PAJMRB-01A-01R	SRR2059687
TARGET-52-PAKHTL-01A-01R	SRR2059688
TARGET-20-PAEEYP-09A-02R	SRR2083127
TARGET-20-PASLYX-09A-02R	SRR2083174
TARGET-20-PABHET-09A-01R	SRR2239653
TARGET-20-PABHKY-03A-01R	SRR2239654
TARGET-20-PAEAFC-09A-01R	SRR2239657
TARGET-20-PAEFHC-09A-01R	SRR2239658
TARGET-20-PAERAH-09A-01R	SRR2239659
TARGET-20-PAKVYM-09A-01R	SRR2239660
TARGET-20-PALHVV-09A-01R	SRR2239661
TARGET-20-PALNAT-09A-01R	SRR2239662
TARGET-20-PALVKV-09A-01R	SRR2239663
TARGET-20-PAMYWW-09A-01R	SRR2239664
TARGET-20-PANBWF-09A-01R	SRR2239665
TARGET-20-PANDER-09A-01R	SRR2239666
TARGET-20-PANGCM-03A-01R	SRR2239667
TARGET-20-PANJGR-09A-01R	SRR2239668
TARGET-20-PANJTK-09A-01R	SRR2239669
TARGET-20-PANKNB-09A-01R	SRR2239670
TARGET-20-PANLIZ-09A-01R	SRR2239671
TARGET-20-PANLRE-09A-01R	SRR2239672
TARGET-20-PANLXM-09A-01R	SRR2239673
TARGET-20-PANRIK-09A-01R	SRR2239674
TARGET-20-PANSJB-09A-01R	SRR2239675
TARGET-20-PANTPW-09A-01R	SRR2239676
TARGET-20-PANUTB-09A-01R	SRR2239677
TARGET-20-PANVGP-09A-01R	SRR2239678
TARGET-20-PANWHP-09A-01R	SRR2239679
TARGET-20-PAPAEG-09A-01R	SRR2239680
TARGET-20-PAPVCN-09A-01R	SRR2239681
TARGET-20-PAPVZK-09A-01R	SRR2239682
TARGET-20-PAPWIU-09A-01R	SRR2239683
TARGET-20-PARAHF-09A-01R	SRR2239685
TARGET-20-PARBFJ-09A-01R	SRR2239686
TARGET-20-PARBTV-09A-01R	SRR2239687
TARGET-20-PARDDA-09A-01R	SRR2239688
TARGET-20-PARENB-09A-01R	SRR2239689
TARGET-20-PARFGK-09A-01R	SRR2239690
TARGET-20-PARHPP-03A-01R	SRR2239691
TARGET-20-PARLVL-09A-01R	SRR2239693
TARGET-20-PARMZF-09A-01R	SRR2239694
TARGET-20-PARTYK-09A-01R	SRR2239695
TARGET-20-PARUTH-09A-01R	SRR2239696
TARGET-20-PARUUB-09A-01R	SRR2239697
TARGET-20-PARXBT-09A-01R	SRR2239698
TARGET-20-PARYEB-09A-01R	SRR2239700
TARGET-20-PARYGA-09A-01R	SRR2239701
TARGET-20-PARZUU-09A-01R	SRR2239702
TARGET-20-PARZWH-09A-01R	SRR2239703
TARGET-20-PASAFM-09A-01R	SRR2239704
TARGET-20-PASFJB-09A-01R	SRR2239705
TARGET-20-PASIEP-09A-01R	SRR2239707
TARGET-20-PASILA-09A-01R	SRR2239708
TARGET-20-PASKUA-09A-01R	SRR2239709
TARGET-20-PASPGA-09A-01R	SRR2239710
TARGET-20-PASPKE-09A-01R	SRR2239711
TARGET-20-PASPLU-09A-01R	SRR2239712
TARGET-20-PASPTM-09A-01R	SRR2239713
TARGET-20-PASXYG-09A-01R	SRR2239716
TARGET-20-PASYDC-09A-01R	SRR2239717
TARGET-20-PASYJI-09A-01R	SRR2239718
TARGET-20-PATELT-03A-01R	SRR2239720
TARGET-10-PARMKM-03A-01R	SRR3162153
TARGET-10-PARMRF-09A-01R	SRR3162155
TARGET-10-PARNBN-09A-01R	SRR3162158
TARGET-10-PATAXS-09A-01R	SRR3162191
TARGET-10-PASILW-09A-01R	SRR3162210
TARGET-10-PASKGG-09A-01R	SRR3162218
TARGET-10-PASKTG-09A-01R	SRR3162222
TARGET-10-PASSHC-09A-01R	SRR3162237
TARGET-10-PASSRP-09A-01R	SRR3162239
TARGET-10-PASXSI-09A-01R	SRR3162262
TARGET-10-PASYAJ-09A-01R	SRR3162265
TARGET-10-PASYHN-09A-01R	SRR3162267
TARGET-10-PATDFE-09A-01R	SRR3162281
TARGET-10-PATFRM-09A-01R	SRR3162297
TARGET-10-PAUBCB-09A-01R	SRR3162320
TARGET-10-PATITB-09A-01R	SRR3162331
TARGET-10-PATLRZ-09A-01R	SRR3162350
TARGET-10-PATWHB-09A-01R	SRR3162373
TARGET-10-PATWIJ-09A-01R	SRR3162374
TARGET-10-PATWXC-09A-01R	SRR3162377
TARGET-10-PATWYL-09A-01R	SRR3162378
TARGET-21-PASSLT-09A-01R	SRR1164986
TARGET-21-PASVJS-41A-02R	SRR1164987
TARGET-21-PATISD-41A-01R	SRR1164988
TARGET-21-PATAIJ-42A-01R	SRR1164989
TARGET-21-PARLSL-09A-02R	SRR1164990
TARGET-21-PATKKJ-41A-01R	SRR1164991
TARGET-21-PANZLR-09A-03R	SRR1164992
TARGET-21-PASNKZ-09A-01R	SRR1164993
TARGET-21-PASDKZ-41A-03R	SRR1164994
TARGET-21-PASFHK-41A-01R	SRR1164995
TARGET-21-PASYEJ-41A-03R	SRR1164996
TARGET-21-PASYWA-41A-01R	SRR1164997
TARGET-21-PASYEJ-09A-01R	SRR1164998
