sample	caller
BS_00PH2T1P	cnvkit
BS_00PH2T1P	manta
BS_01BDZ0TW	cnvkit
BS_01BDZ0TW	manta
BS_01DQH017	freec
BS_02M67EFQ	freec
BS_02M67EFQ	manta
BS_02ZSVZCB	manta
BS_05HM0A95	freec
BS_05HM0A95	manta
BS_05TA6E00	freec
BS_05TA6E00	manta
BS_066WH8B1	freec
BS_066WH8B1	manta
BS_08127AYS	cnvkit
BS_08127AYS	freec
BS_089VTMQN	freec
BS_089VTMQN	manta
BS_08WQR40A	freec
BS_08WQR40A	manta
BS_09QP7PQA	freec
BS_09QP7PQA	manta
BS_0DT9J904	freec
BS_0DT9J904	manta
BS_0EN5R1AP	cnvkit
BS_0F489H89	freec
BS_0F489H89	manta
BS_0GTTKPSC	freec
BS_0GTTKPSC	manta
BS_0J4JR4PC	freec
BS_0J4JR4PC	manta
BS_0JW2Z9AR	freec
BS_0JW2Z9AR	manta
BS_0PF16SV2	freec
BS_0PF16SV2	manta
BS_0PQA0GGY	freec
BS_0PQA0GGY	manta
BS_0Q8G4N8H	freec
BS_0QPN2RNE	freec
BS_0QPN2RNE	manta
BS_0QTY32QA	cnvkit
BS_0QTY32QA	freec
BS_0QTY32QA	manta
BS_0RBGK29M	cnvkit
BS_0RBGK29M	manta
BS_0T5A16N2	cnvkit
BS_0T5A16N2	manta
BS_0TER803R	cnvkit
BS_0TER803R	freec
BS_0TVNW0MY	freec
BS_0TVNW0MY	manta
BS_0V1W9CHW	freec
BS_0V1W9CHW	manta
BS_0XD58YD9	cnvkit
BS_0XDZKZJ0	cnvkit
BS_0XDZKZJ0	freec
BS_0XDZKZJ0	manta
BS_0XR7GYAV	freec
BS_0Y4VHCMS	cnvkit
BS_0ZR4XA69	cnvkit
BS_10AD3EFX	cnvkit
BS_10V9SAG8	cnvkit
BS_10V9SAG8	manta
BS_11VVPZTP	freec
BS_11VVPZTP	manta
BS_14BSNTXX	freec
BS_14BSNTXX	manta
BS_164KRQJ0	freec
BS_16FT8V4B	cnvkit
BS_16FT8V4B	manta
BS_17AXPP1Y	cnvkit
BS_17CG1SV7	cnvkit
BS_17CG1SV7	freec
BS_17CG1SV7	manta
BS_1ADA48EP	freec
BS_1ADA48EP	manta
BS_1B8ZJ8KK	freec
BS_1B8ZJ8KK	manta
BS_1BR81RGD	cnvkit
BS_1CZPVCXR	freec
BS_1EYKDS0Z	freec
BS_1F4W5QHY	freec
BS_1F4W5QHY	manta
BS_1FR8GJ7N	cnvkit
BS_1G3QX306	cnvkit
BS_1G3QX306	manta
BS_1G5N5R8S	cnvkit
BS_1G5N5R8S	freec
BS_1GQJVG9Q	cnvkit
BS_1GQJVG9Q	freec
BS_1GQJVG9Q	manta
BS_1HXG4A7B	cnvkit
BS_1HXG4A7B	manta
BS_1Q524P3B	cnvkit
BS_1QYRP390	freec
BS_1QYRP390	manta
BS_1S57A8WK	freec
BS_1S57A8WK	manta
BS_1SGVKBTR	freec
BS_1SGVKBTR	manta
BS_1TWPDAAE	freec
BS_1TWPDAAE	manta
BS_1YD0ZQ4R	cnvkit
BS_1YD0ZQ4R	freec
BS_20HSXMYQ	cnvkit
BS_22VCR7DF	cnvkit
BS_255803B6	cnvkit
BS_255803B6	manta
BS_25EXB29C	cnvkit
BS_25EXB29C	freec
BS_276ZNVV7	freec
BS_276ZNVV7	manta
BS_29DZNQYC	cnvkit
BS_29DZNQYC	freec
BS_29MQMSCM	cnvkit
BS_2ABKFT99	cnvkit
BS_2ABKFT99	manta
BS_2C3JJJRC	freec
BS_2C3JJJRC	manta
BS_2E03PR1Q	freec
BS_2E03PR1Q	manta
BS_2EPZDZ8W	freec
BS_2EPZDZ8W	manta
BS_2F5KDZ93	cnvkit
BS_2F5KDZ93	manta
BS_2FPVHEQS	cnvkit
BS_2HW3AHX5	freec
BS_2HW3AHX5	manta
BS_2JAHHF1X	freec
BS_2JAHHF1X	manta
BS_2JKH4PC2	freec
BS_2JKH4PC2	manta
BS_2M61TD7H	freec
BS_2M61TD7H	manta
BS_2MY5XJ78	freec
BS_2MY5XJ78	manta
BS_2N95EW0G	cnvkit
BS_2NPW3A08	cnvkit
BS_2NPW3A08	freec
BS_2P6MH05V	cnvkit
BS_2P6MH05V	manta
BS_2R0QBATZ	cnvkit
BS_2R0QBATZ	manta
BS_2SFR8Z1P	cnvkit
BS_2SFR8Z1P	freec
BS_2SG8JNMB	freec
BS_2TR2MQDB	freec
