CN Ratio	TNs	FNs	TPs	TNR	TPR	Accuracy	TNR + TPR	ROCAUC
0.1	49	5	29	0.653333	0.852941	0.715596	1.506274	0.753137
0.2	63	5	29	0.84	0.852941	0.844037	1.692941	0.846471
0.3	71	5	29	0.946667	0.852941	0.917431	1.799608	0.899804
0.4	75	6	28	1.0	0.823529	0.944954	1.823529	0.911765
0.5	75	8	26	1.0	0.764706	0.926606	1.764706	0.882353
0.6	75	9	25	1.0	0.735294	0.917431	1.735294	0.867647
0.7	75	11	23	1.0	0.676471	0.899083	1.676471	0.838235
0.8	75	14	20	1.0	0.588235	0.87156	1.588235	0.794118
0.9	75	15	19	1.0	0.558824	0.862385	1.558824	0.779412
1.0	75	17	17	1.0	0.5	0.844037	1.5	0.75
1.1	75	18	16	1.0	0.470588	0.834862	1.470588	0.735294
1.2	75	21	13	1.0	0.382353	0.807339	1.382353	0.691176
1.3	75	22	12	1.0	0.352941	0.798165	1.352941	0.676471
1.4	75	25	9	1.0	0.264706	0.770642	1.264706	0.632353
1.5	75	26	8	1.0	0.235294	0.761468	1.235294	0.617647
1.6	75	30	4	1.0	0.117647	0.724771	1.117647	0.558824
1.7	75	32	2	1.0	0.058824	0.706422	1.058824	0.529412
1.8	75	34	0	1.0	0.0	0.688073	1.0	0.5
1.9	75	34	0	1.0	0.0	0.688073	1.0	0.5
2.0	75	34	0	1.0	0.0	0.688073	1.0	0.5
