CN Ratio	TNs	FNs	TPs	TNR	TPR	Accuracy	TNR + TPR	ROCAUC
0.1	51	1	33	0.68	0.970588	0.770642	1.650588	0.825294
0.2	63	1	33	0.84	0.970588	0.880734	1.810588	0.905294
0.3	68	1	33	0.906667	0.970588	0.926606	1.877255	0.938627
0.4	74	1	33	0.986667	0.970588	0.981651	1.957255	0.978627
0.5	75	3	31	1.0	0.911765	0.972477	1.911765	0.955882
0.6	75	3	31	1.0	0.911765	0.972477	1.911765	0.955882
0.7	75	6	28	1.0	0.823529	0.944954	1.823529	0.911765
0.8	75	7	27	1.0	0.794118	0.93578	1.794118	0.897059
0.9	75	10	24	1.0	0.705882	0.908257	1.705882	0.852941
1.0	75	14	20	1.0	0.588235	0.87156	1.588235	0.794118
1.1	75	15	19	1.0	0.558824	0.862385	1.558824	0.779412
1.2	75	16	18	1.0	0.529412	0.853211	1.529412	0.764706
1.3	75	19	15	1.0	0.441176	0.825688	1.441176	0.720588
1.4	75	22	12	1.0	0.352941	0.798165	1.352941	0.676471
1.5	75	24	10	1.0	0.294118	0.779817	1.294118	0.647059
1.6	75	31	3	1.0	0.088235	0.715596	1.088235	0.544118
1.7	75	32	2	1.0	0.058824	0.706422	1.058824	0.529412
1.8	75	32	2	1.0	0.058824	0.706422	1.058824	0.529412
1.9	75	33	1	1.0	0.029412	0.697248	1.029412	0.514706
2.0	75	34	0	1.0	0.0	0.688073	1.0	0.5
