Sample	Chromosome	Start.Position	End.Position	Num.markers	Seg.CN
PAAPFA	2	16061636	19773282	438	0.265785157680511
PACRYY	2	8725237	16653114	1026	0.114354457706213
PACUGP	2	6931694	16788131	1293	0.29254999756813
PACVXN	2	0	90240473	10617	0.169241189956665
PACZPX	2	13194101	16588342	365	0.987871825695038
PADENF	2	7594831	33086096	2930	0.103125941008329
PADFLI	2	10528824	33334151	2617	0.0167326182126999
PADIEY	2	0	90240473	10618	-0.10676933452487
PADIHC	2	0	42487288	5324	0.0616384260356426
PADKGF	2	0	89125131	10612	0.0062136468477547
PADKNE	2	15894799	16677813	112	0.783837199211121
PADKWZ	2	14001530	16102595	234	0.024021789431572
PADKYP	2	15926358	16468505	78	1.04861098527908
PADLIC	2	3381343	40662112	4657	0.0045757829211652
PADLJN	2	11001371	20749554	1237	0.10376151651144
PADLKJ	2	15756145	18174579	291	0.648229598999023
PADLNM	2	15964755	16159675	29	0.734200417995453
PADLPR	2	0	23420701	3054	0.37466786801815
PADLPZ	2	11790048	25536163	1528	0.157979443669319
PADLTD	2	12806206	17063794	479	0.627582669258118
PADMGA	2	15809022	17226642	196	0.064455283805728
PADMTD	2	14356323	16879016	300	0.492770314216614
PADMYD	2	14040218	16737863	304	0.0458136405795813
PADNFT	2	6656128	20746262	1844	-0.0153513788245618
PADNXC	2	16076014	16564745	57	1.36748397350311
PADPEY	2	13503947	17432437	443	1.19018924236298
PADPHP	2	15336868	18103605	305	0.0116996895521879
PADRLI	2	13816480	25932289	1287	0.0958602502942085
PADRWY	2	14233702	18039579	418	0.0330524472519755
PADRYN	2	15898510	17307262	184	1.04348528385162
PADSEC	2	13974940	19777522	676	-0.0115866493433714
PADSXE	2	0	18394890	2466	0.0284317536279559
PADSXU	2	13611480	25492959	1283	0.331045538187027
PADSXU	2	0	45754426	5779	0.253010869026184
PADTJJ	2	15375471	17111488	214	1.39769053459167
PADTRV	2	0	90240473	10613	0.0880219265818596
PADUWR	2	10105076	18297029	1045	-0.0643864721059799
PADUYJ	2	15098490	16431989	168	1.20211160182953
PADVWW	2	0	47236322	6089	-0.012499175965786
PADXAS	2	10517571	18371915	973	-0.0059398584999144
PAHXZM	2	4632470	20109958	1990	-0.0041890712454915
PAHYWC	2	15646489	16293836	97	-0.571831107139587
PAIBIW	2	15841632	17213154	177	1.05216252803802
PAICAI	2	4695893	46097290	5071	0.0897607952356339
PAICAI	2	13106472	18356751	552	-0.170247010886669
PAICAK	2	0	48973326	6177	0.0796925127506256
PAICGF	2	14038193	18417531	472	-0.0648577474057674
PAIDJS	2	0	31061942	3784	0.0656637959182262
PAIDSV	2	0	23762494	3033	0.143906906247139
PAIEFC	2	14736408	17175020	291	0.181999236345291
PAIFCS	2	0	90240473	10370	0.0028228715527802
PAIFXV	2	0	55461093	7035	0.0871951952576637
PAIGRH	2	0	89128996	10368	0.034899864345789
PAIHAW	2	0	48998998	6175	0.0226291175931692
PAIJGC	2	15713836	18775653	384	0.30218517780304
PAILNI	2	10707727	78023321	8093	0.0148586872965097
PAILNU	2	0	49001184	6176	0.11709851026535
PAIMDS	2	8278909	21231859	1662	0.0105329072102904
PAIMDT	2	14035188	17601454	385	0.113581076264381
